id,message,userId,taskId,isRead,updated_at,created_at
61,"Artūrs pārvietoja projektu ""Velocart Uzlīmes"" no ""Artūrs"" uz ""Decallab""",joud2zyvb3wgvxlrgahougzz,126,true,2025-12-12T13:10:48.000Z,2025-08-11T10:15:45.000Z
62,"Artūrs pārvietoja projektu ""Elīna Indriksone Mamanet - Jelgava"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,106,true,2025-12-12T13:10:48.000Z,2025-08-11T11:09:27.000Z
63,"Kaspars rediģēja projektu: ""HK Ogre Smashers""",boaj3cdrucdxjbeirocwa2qo,108,true,2026-01-15T07:21:15.000Z,2025-08-14T11:15:31.000Z
64,"Toms izveidoja jaunu projektu: ""RAGS Krekli""",boaj3cdrucdxjbeirocwa2qo,149,true,2026-01-15T07:21:15.000Z,2025-08-18T07:13:18.000Z
65,"Artūrs pārvietoja projektu ""BK Ventspils Tehnikums"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,122,true,2025-12-12T13:10:48.000Z,2025-08-18T11:25:06.000Z
66,"Kaspars pārvietoja projektu ""SOS Order 31135"" no ""Pie mums"" uz ""Parādnieki""",boaj3cdrucdxjbeirocwa2qo,98,true,2026-01-15T07:21:15.000Z,2025-08-19T12:44:46.000Z
68,"Kaspars rediģēja projektu: ""HK Ogre Smashers""",boaj3cdrucdxjbeirocwa2qo,108,true,2026-01-15T07:21:15.000Z,2025-08-20T11:58:32.000Z
69,"Toms pārvietoja projektu ""Solovjevs Kalsnava"" no ""Gatavs Atdošanai"" uz ""Parādnieki""",boaj3cdrucdxjbeirocwa2qo,8,true,2026-01-15T07:21:15.000Z,2025-08-21T11:01:27.000Z
70,"Raimonds pārvietoja projektu ""gerhardsons krekli"" no ""Lielvārde"" uz ""Pie mums""",boaj3cdrucdxjbeirocwa2qo,80,true,2026-01-15T07:21:15.000Z,2025-08-22T08:08:25.000Z
71,"Raimonds izveidoja jaunu projektu: ""Jekabpils Treninterpi""",xosfdkuu34uxwigj5aatp46y,166,false,2025-08-22T08:46:47.000Z,2025-08-22T08:46:47.000Z
72,"Raimonds pārvietoja projektu ""Jekabpils Treninterpi"" no ""Darbs"" uz ""FastPrint""",xosfdkuu34uxwigj5aatp46y,166,false,2025-08-22T08:47:43.000Z,2025-08-22T08:47:43.000Z
73,"Toms pārvietoja projektu ""RAGS Krekli"" no ""Darbs"" uz ""Uz druku""",boaj3cdrucdxjbeirocwa2qo,149,true,2026-01-15T07:21:15.000Z,2025-08-26T06:01:03.000Z
74,"Toms pārvietoja projektu ""RAGS Krekli"" no ""Uz druku"" uz ""Presējam""",boaj3cdrucdxjbeirocwa2qo,149,true,2026-01-15T07:21:15.000Z,2025-08-26T06:01:07.000Z
75,"Toms izdzēsa projektu: ""Salvis ProBasket WARRIORS formas watsapp""",joud2zyvb3wgvxlrgahougzz,,true,2025-12-12T13:10:48.000Z,2025-08-26T06:01:22.000Z
76,"Artūrs pārvietoja projektu ""HK Ogre Smashers"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,108,true,2025-12-12T13:10:48.000Z,2025-08-26T10:26:47.000Z
77,"Artūrs pārvietoja projektu ""Irina - Peldētāju Polo"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,146,true,2025-12-12T13:10:48.000Z,2025-08-26T10:35:51.000Z
78,"Artūrs pārvietoja projektu ""Black Stork Basketbols"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,151,true,2025-12-12T13:10:48.000Z,2025-08-26T10:35:54.000Z
79,"Artūrs pārvietoja projektu ""Tadas Špokas Fanu krekli"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,158,true,2025-12-12T13:10:48.000Z,2025-08-26T11:53:23.000Z
80,"Artūrs rediģēja projektu: ""Šautriņas - Vienradzis""",joud2zyvb3wgvxlrgahougzz,119,true,2025-12-12T13:10:48.000Z,2025-08-27T10:03:24.000Z
81,"Artūrs pārvietoja projektu ""Šautriņas - Vienradzis"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,119,true,2025-12-12T13:10:48.000Z,2025-08-27T10:03:28.000Z
82,"Artūrs pārvietoja projektu ""FK Melnis"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,144,true,2025-12-12T13:10:48.000Z,2025-08-27T10:20:26.000Z
83,"Artūrs pārvietoja projektu ""Tadas Špokas Fanu krekli"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,158,true,2025-12-12T13:10:48.000Z,2025-08-27T10:22:23.000Z
84,"Artūrs pārvietoja projektu ""Irina - Peldētāju Polo"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,146,true,2025-12-12T13:10:48.000Z,2025-08-27T10:52:35.000Z
85,"Artūrs pārvietoja projektu ""Šautriņas - Vienradzis"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,119,true,2025-12-12T13:10:48.000Z,2025-08-27T10:52:39.000Z
86,"Artūrs pārvietoja projektu ""BK Tactical Angels"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,179,true,2025-12-12T13:10:48.000Z,2025-08-27T11:20:07.000Z
87,"Toms pārvietoja projektu ""RAGS Krekli"" no ""Presējam"" uz ""Lielvārde""",boaj3cdrucdxjbeirocwa2qo,149,true,2026-01-15T07:21:15.000Z,2025-08-27T11:28:23.000Z
88,"Artūrs pārvietoja projektu ""Roņi, volejbols"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,127,true,2025-12-12T13:10:48.000Z,2025-08-27T13:24:09.000Z
89,"Artūrs pārvietoja projektu ""Tadas Špokas Fanu krekli"" no ""Presējam"" uz ""Ikšķile""",joud2zyvb3wgvxlrgahougzz,158,true,2025-12-12T13:10:48.000Z,2025-08-28T13:42:21.000Z
90,"Artūrs pārvietoja projektu ""FK Melnis"" no ""Presējam"" uz ""Ikšķile""",joud2zyvb3wgvxlrgahougzz,144,true,2025-12-12T13:10:48.000Z,2025-08-28T13:42:29.000Z
